customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,charge_per_tenure,Churn
7590-VHVEG,1,0,0,0,29.85,29.85,29.85,0
5575-GNVDE,34,1,1,1,56.95,1889.5,55.5735294117647,0
3668-QPYBK,2,1,0,1,53.85,108.15,54.075,1
7795-CFOCW,45,0,1,2,42.3,1840.75,40.90555555555556,0
9237-HQITU,2,1,0,0,70.7,151.65,75.825,1
9305-CDSKC,8,1,0,0,99.65,820.5,102.5625,1
1452-KIOVK,22,1,0,3,89.1,1949.4,88.60909090909091,0
6713-OKOMC,10,0,0,1,29.75,301.9,30.189999999999998,0
7892-POOKP,28,1,0,0,104.8,3046.05,108.78750000000001,1
6388-TABGU,62,1,1,2,56.15,3487.95,56.25725806451613,0
9763-GRSKD,13,1,0,1,49.95,587.45,45.18846153846154,0
7469-LKBCI,16,1,2,3,18.95,326.8,20.425,0
8091-TTVAX,58,1,1,3,100.35,5681.1,97.95,0
0280-XJGEX,49,1,0,2,103.7,5036.3,102.78163265306122,1
5129-JLPIS,25,1,0,0,105.5,2686.05,107.44200000000001,0
3655-SNQYZ,69,1,2,3,113.25,7895.15,114.42246376811593,0
8191-XWSZG,52,1,1,1,20.65,1022.95,19.672115384615385,0
9959-WOFKT,71,1,2,2,106.7,7382.25,103.97535211267606,0
4190-MFLUW,10,1,0,3,55.2,528.35,52.835,1
4183-MYFRB,21,1,0,0,90.05,1862.9,88.70952380952382,0
8779-QRDMV,1,0,0,0,39.65,39.65,39.65,1
1680-VDCWW,12,1,1,2,19.8,202.25,16.854166666666668,0
1066-JKSGK,1,1,0,1,20.15,20.15,20.15,1
3638-WEABW,58,1,2,3,59.9,3505.1,60.432758620689654,0
6322-HRPFA,49,1,0,3,59.6,2970.3,60.61836734693878,0
6865-JZNKO,30,1,0,2,55.3,1530.6,51.019999999999996,0
6467-CHFZW,47,1,0,0,99.35,4749.15,101.04574468085106,1
8665-UTDHZ,1,0,0,0,30.2,30.2,30.2,1
5248-YGIJN,72,1,2,3,90.25,6369.45,88.46458333333334,0
8773-HHUOZ,17,1,0,1,64.7,1093.1,64.3,1
3841-NFECX,71,1,2,3,96.35,6766.95,95.30915492957746,0
4929-XIHVW,2,1,0,3,95.5,181.65,90.825,0
6827-IEAUQ,27,1,1,1,66.15,1874.45,69.42407407407407,0
7310-EGVHZ,1,1,0,2,20.2,20.2,20.2,0
3413-BMNZE,1,1,0,2,45.25,45.25,45.25,0
6234-RAAPL,72,1,2,2,99.9,7251.7,100.71805555555555,0
6047-YHPVI,5,1,0,0,69.7,316.9,63.379999999999995,1
6572-ADKRS,46,1,0,3,74.8,3548.3,77.13695652173914,0
5380-WJKOV,34,1,0,0,106.35,3549.25,104.38970588235294,1
8168-UQWWF,11,1,0,2,97.85,1105.4,100.4909090909091,1
8865-TNMNX,10,1,1,1,49.55,475.7,47.57,0
9489-DEDVP,70,1,2,3,69.2,4872.35,69.605,0
9867-JCZSP,17,1,1,1,20.75,418.25,24.602941176470587,0
4671-VJLCL,63,1,2,3,79.85,4861.45,77.16587301587302,0
4080-IIARD,13,1,0,0,76.2,981.45,75.49615384615385,0
3714-NTNFO,49,1,0,0,84.5,3906.7,79.72857142857143,0
5948-UJZLF,2,1,0,1,49.25,97.0,48.5,0
7760-OYPDY,2,1,0,0,80.65,144.15,72.075,1
